x0-mean,x0-std,x0-10th,x0-25th,x0-50th,x0-75th,x0-90th,x0-iqr,x0-amp,x0-skew,x0-kurt,x0-rms,y0-mean,y0-std,y0-10th,y0-25th,y0-50th,y0-75th,y0-90th,y0-iqr,y0-amp,y0-skew,y0-kurt,y0-rms,z0-mean,z0-std,z0-10th,z0-25th,z0-50th,z0-75th,z0-90th,z0-iqr,z0-amp,z0-skew,z0-kurt,z0-rms,x1-mean,x1-std,x1-10th,x1-25th,x1-50th,x1-75th,x1-90th,x1-iqr,x1-amp,x1-skew,x1-kurt,x1-rms,y1-mean,y1-std,y1-10th,y1-25th,y1-50th,y1-75th,y1-90th,y1-iqr,y1-amp,y1-skew,y1-kurt,y1-rms,z1-mean,z1-std,z1-10th,z1-25th,z1-50th,z1-75th,z1-90th,z1-iqr,z1-amp,z1-skew,z1-kurt,z1-rms,x2-mean,x2-std,x2-10th,x2-25th,x2-50th,x2-75th,x2-90th,x2-iqr,x2-amp,x2-skew,x2-kurt,x2-rms,y2-mean,y2-std,y2-10th,y2-25th,y2-50th,y2-75th,y2-90th,y2-iqr,y2-amp,y2-skew,y2-kurt,y2-rms,z2-mean,z2-std,z2-10th,z2-25th,z2-50th,z2-75th,z2-90th,z2-iqr,z2-amp,z2-skew,z2-kurt,z2-rms,type
0.610174,3.226616,-1.677571,-0.81396,-0.210672,0.268128,4.765018,1.082088,16.700544,1.984312,4.36573,3.23053,1.11989,2.158315,-0.911635,-0.124488,0.497952,2.049264,4.136832,2.173752,9.805824,1.091697,1.206232,2.399417,5.832463,6.995034,-0.524765,0.306432,2.930256,9.0972,17.608349,8.790768,20.760768,0.825926,-0.775173,9.0176,-2.662962,8.440958,-15.053472,-5.017824,-5.017824,2.93092,5.634518,7.948744,27.080928,-0.03435,-1.002748,8.715856,-4.194834,7.506021,-14.632128,-10.031496,-3.619728,4.290048,4.290048,14.321544,23.825088,-0.390357,-0.832995,8.488756,-1.942013,2.148563,-3.562272,-3.562272,-2.183328,-1.876896,1.896048,1.685376,6.549984,0.884448,-0.592552,2.86947,-11.821891,7.623379,-19.53504,-19.525464,-14.000112,-4.299624,-1.045699,15.22584,20.760768,0.388809,-1.430038,13.997708,5.709986,9.179794,-3.328906,-2.135448,4.11768,14.07672,19.53504,16.212168,29.225952,0.292214,-1.163318,10.680056,-1.040599,7.834547,-8.840563,-6.811968,-1.972656,2.979824,6.549984,9.791792,32.6856,0.970576,1.010606,7.772836,run
2.315071,3.046897,-0.164707,0.114912,0.9576,3.667608,7.450128,3.552696,9.269568,1.220787,0.149394,3.785985,0.335846,2.802164,-4.060224,-1.793064,0.587568,2.461032,3.596746,4.254096,9.116352,-0.117971,-1.139246,2.77546,8.422326,8.226466,-0.252806,0.919296,6.12864,17.734752,19.53504,16.815456,20.87568,0.275658,-1.587171,11.677093,-7.509495,9.30721,-19.53504,-12.075336,-10.432304,1.321488,6.32016,13.396824,29.340864,0.31044,-1.104382,11.837618,-10.027843,10.570187,-19.53504,-19.53504,-13.21488,2.59872,4.809466,22.13376,26.861952,0.550932,-1.380239,14.441682,-1.808905,2.55802,-4.558176,-4.009936,-2.68128,0.737352,1.800288,4.747288,9.499392,0.391537,-0.877928,3.097981,-8.663088,13.477568,-19.53504,-18.491256,-17.887968,-3.179232,15.474816,15.312024,35.009856,0.991569,-0.623233,15.831586,5.678291,7.804777,-1.91137,-0.14184,5.860512,9.614304,19.53504,9.756144,30.454336,0.188182,-0.463863,9.546049,-0.583859,4.460919,-6.741504,-2.958984,0.344736,1.378944,5.975424,4.337928,15.13008,-0.324205,-0.487167,4.424631,run
0.313956,1.651083,-0.582221,0.306432,0.536256,1.062936,1.417248,0.756504,7.507584,-2.364674,5.698262,1.653413,1.7333,2.001935,-0.102701,0.19152,0.880992,4.06432,4.467475,3.8728,6.281856,0.502384,-1.225944,2.622686,7.624585,6.846151,-0.157046,1.509576,4.653936,13.02336,16.738848,11.513784,20.224512,0.245357,-1.537082,10.170632,-2.736053,8.206176,-8.940154,-6.84684,-4.59648,-3.677184,10.171094,3.169656,31.332672,1.010704,0.341945,8.519543,-6.82733,11.092207,-18.604253,-18.500832,-4.136832,4.290048,6.79513,22.79088,27.847008,0.064658,-1.69355,12.866556,-0.438946,2.230642,-3.658032,-2.135448,0.344736,1.493856,1.493856,3.629304,7.85232,-0.487046,-0.957469,2.236644,-10.722703,4.274369,-16.217914,-13.1246,-10.380384,-10.380384,-4.952707,2.744216,17.887968,0.037793,-0.132874,11.516839,1.797119,10.576692,-7.201152,-6.46496,-6.46496,7.764336,19.53504,14.229296,28.134176,0.71985,-1.04153,10.553065,3.747006,6.669862,-4.407206,-1.876896,6.7032,6.7032,7.794864,8.580096,26.57744,0.367126,0.093604,7.552761,run
1.928153,2.621234,0.210672,0.555408,0.859792,3.217536,6.265814,2.662128,11.146464,0.922913,0.488926,3.218635,0.959881,2.317919,-1.53599,-0.344736,0.655264,1.752408,3.198384,2.097144,11.529504,1.37035,2.666749,2.472858,7.067963,7.98692,0.011491,0.679896,2.32088,16.020648,19.53504,15.340752,20.1096,0.636743,-1.3231,10.565066,-1.861157,7.144619,-11.451379,-6.358464,-1.493856,3.983616,5.209344,10.34208,23.17392,-0.148412,-1.215451,7.266909,-7.893163,9.435825,-19.53504,-19.166944,-7.641648,0.247648,4.543229,19.414592,26.708736,0.088361,-1.326763,12.180681,-0.090653,2.956809,-3.102624,-2.68128,0.076608,1.838592,3.63888,4.519872,11.223072,-0.100042,-0.85652,2.908524,-7.618762,9.386636,-19.53504,-13.197776,-9.786672,-2.748312,-1.693037,10.449464,39.07008,1.280557,2.059206,11.967351,4.152604,7.550433,-2.994653,-0.455552,2.030112,7.641648,17.184989,8.0972,25.931808,0.860954,-0.436332,8.506049,-1.774294,6.031591,-6.31633,-4.663512,-2.145024,-0.76608,3.458851,3.897432,32.022144,1.496942,4.06946,6.189955,run
1.677579,1.728712,0.266899,0.497952,1.034208,2.208624,3.910694,1.710672,7.737408,1.692711,2.845369,2.388117,0.52185,1.980342,-1.382774,-0.833112,0.21272,1.503432,3.54695,2.336544,8.707296,1.210593,1.429764,2.015777,6.056545,6.208865,0.298771,0.689472,4.21344,9.805464,14.007773,9.115992,21.64176,0.693476,-0.621816,8.599229,-6.382915,6.617026,-10.208016,-9.039744,-7.430976,-5.36256,-0.394531,3.677184,29.723904,0.847243,1.495817,9.114117,-6.246884,10.63198,-19.53504,-19.255232,-5.400864,6.470968,6.584458,25.7262,27.119232,-0.020623,-1.477423,12.177626,-1.198041,4.941132,-6.500189,-5.2182,-2.068416,1.024272,8.350272,6.242472,16.815456,0.550793,-0.336727,5.003625,-9.776233,5.911905,-15.819552,-14.80956,-11.87424,-4.175136,-3.562272,10.634424,19.879776,0.170599,-1.217978,11.373668,4.451655,7.590451,-6.879398,2.435072,6.435072,8.388576,12.29927,5.953504,27.655488,-0.162019,-0.428695,8.689746,-0.598594,4.521576,-4.550515,-2.701456,-1.938448,0.038304,8.126669,2.73976,17.313408,0.86988,0.53539,4.485696,run
-0.499229,1.384125,-2.574029,-1.254456,-0.28728,0.679896,0.919296,1.934352,5.132736,-0.33147,-0.87778,1.449542,0.794306,1.577077,-0.846518,-0.229824,0.4788,1.27668,3.63888,1.506504,6.259936,1.058155,0.323682,1.742179,7.200742,6.920767,-0.011491,0.842688,5.822208,11.788056,19.53504,10.945368,20.339424,0.58325,-0.926091,9.907126,-0.663021,10.043482,-16.425552,-5.592384,-2.8728,10.121832,11.247261,15.714216,32.328576,-0.305561,-0.879947,9.896905,-3.953534,10.947722,-19.53504,-13.990536,-3.54312,5.55408,8.212378,19.544616,35.546112,-0.00607,-1.091547,11.46682,-1.605484,2.403548,-4.393469,-3.231208,-2.240784,0.067032,1.099325,3.29824,9.614304,0.8803,0.333232,2.85693,-7.948265,5.708499,-14.937165,-11.870808,-7.105392,-2.675496,-0.651168,9.195312,18.800288,-0.310058,-0.935012,9.730141,3.592915,9.698056,-8.802259,-7.258608,6.205248,6.865992,18.880042,14.1246,31.256064,0.071934,-0.856207,10.189517,-0.391978,4.878391,-6.588288,-3.562272,-0.421344,2.853648,6.779808,6.41592,16.049376,-0.060953,-0.971716,4.812386,run
1.196635,2.550752,-0.965261,-0.14364,0.67032,2.183328,3.8304,2.326968,11.529504,0.630056,0.785413,2.778739,1.373837,3.741032,-1.712189,-0.220248,0.28728,0.900144,5.377882,1.120392,17.083584,2.118636,4.250356,3.926351,6.343142,7.264349,-0.547747,-0.162792,3.409056,11.34756,19.086883,11.510352,20.377728,0.643636,-1.014031,9.55234,-5.036238,10.076729,-15.947968,-13.9258,-9.667664,6.052032,6.856416,19.977832,25.778592,0.118344,-1.801848,11.113932,-9.762122,7.345461,-19.53504,-18.165672,-8.53504,-8.388576,-0.047981,9.777096,25.66368,0.183893,-0.525629,12.143158,0.18614,2.318155,-2.754058,-0.19152,1.034208,1.417248,1.876896,1.608768,9.346176,-1.866924,2.698804,2.28678,-9.511149,7.847753,-17.474285,-16.540104,-12.544448,-3.294144,0.797962,13.24596,27.119232,0.649669,-0.569975,12.247296,5.01633,9.492938,-5.604106,-0.057456,5.343408,8.455608,19.53504,8.513064,33.247872,-0.000327,-0.493219,10.596017,0.835341,4.245664,-3.117946,-2.212056,0.365936,4.090584,5.783904,6.30264,17.198496,-0.140706,-0.446149,4.257065,run
-2.048076,2.673981,-6.193181,-3.428208,-0.597808,-0.153216,0.164707,3.274992,10.380384,-0.983914,-0.042724,3.332634,0.802425,1.902612,-1.428739,-0.33516,0.536256,1.554384,4.048733,1.889544,7.40496,0.672865,-0.028328,2.035473,6.153091,8.05623,-0.494122,0.067032,2.0336,15.931696,18.615744,15.864664,20.845568,0.730159,-1.304221,10.029952,0.533212,11.196736,-15.823382,-7.967232,0,11.759328,11.759328,19.72656,32.36688,-0.323611,-1.318331,11.021448,-6.529087,9.356812,-19.53504,-19.181032,-3.44736,-1.53504,1.352131,17.645992,29.187648,-0.297996,-1.057521,11.280983,-2.250452,2.362606,-4.106189,-4.060224,-2.48976,-0.076608,0.47497,3.983616,8.465184,-0.108171,-1.010994,3.234251,-9.37531,6.414428,-19.259251,-14.996016,-8.120448,-4.424112,-2.374848,10.571904,23.205248,-0.20146,-0.966193,11.299107,7.60703,7.906046,-4.876099,4.02192,8.197056,9.84612,19.53504,5.8242,27.547328,-0.083897,-0.470403,10.876073,-1.92127,5.460497,-9.76752,-5.668992,-1.800288,1.197,6.744182,6.865992,19.803168,0.355629,-0.546663,5.70214,run
-0.617104,2.302427,-2.482099,-2.25036,-0.517104,0.019152,2.068416,2.269512,10.15056,0.813112,0.766601,2.346333,1.448983,2.371018,-1.018886,-0.411768,0.651168,3.23976,5.128906,3.651528,8.388576,0.562648,-0.897122,2.744793,7.353693,7.834576,-0.153216,0.038304,4.807152,15.790824,19.53504,15.75252,20.68416,0.410535,-1.458647,10.649477,-3.419237,11.283524,-19.53504,-12.889296,1.802944,6.135088,9.576,19.024384,32.520096,-0.19924,-1.527925,11.60884,-9.509728,7.390123,-19.417248,-14.399536,-9.374848,-6.044864,0.731606,8.354672,24.361344,0.381574,-0.760348,11.967806,-1.817296,2.297874,-4.481568,-3.744216,-2.29824,-0.919296,1.804118,2.82492,7.967232,0.583706,-0.638058,2.899445,-8.949187,6.863405,-17.23297,-14.325696,-8.6184,-3.552696,-0.995904,10.773,23.94,0.151649,-1.033781,11.208214,0.999524,7.049889,-6.671715,-5.630688,1.876896,5.67688,9.10103,11.307568,25.9576,0.398656,-0.774277,7.003091,-2.100705,5.597872,-7.986528,-6.626592,-2.221632,0.421344,3.631219,7.047936,26.506368,1.040167,1.940898,5.89106,run
5.97328,5.160619,-0.019152,0.58516,8.388576,10.91664,10.91664,10.33148,11.950848,-0.195981,-1.843075,7.837367,2.226466,1.753379,-0.28728,0.695976,2.528064,3.868704,3.868704,3.172728,4.902912,-0.311275,-1.535328,2.81585,13.623456,8.62608,0.114912,4.40496,19.53504,19.53504,19.53504,15.13008,20.645856,-0.790559,-1.277482,16.047663,0.645419,9.208971,-12.372192,-10.878336,5.36256,5.36256,11.376288,16.240896,26.008416,-0.570634,-1.264459,9.077162,-4.329581,8.808259,-18.505613,-6.013728,-5.439168,1.58004,8.80992,7.593768,28.459872,-0.217681,-0.636229,9.682175,1.880726,3.327048,-3.608237,-0.044808,3.44736,4.59648,4.59648,4.641288,10.72512,-0.537435,-0.929161,3.773249,-13.369823,6.786873,-19.53504,-19.458432,-14.478912,-10.15056,-2.018621,9.307872,18.497952,0.749755,-0.967478,14.942504,1.97142,8.449017,-5.826038,-3.983616,-1.737296,5.17104,13.537984,9.154656,25.740288,0.862518,-0.576207,8.537731,-3.474125,5.958455,-10.801728,-8.42688,-4.97952,-0.564984,6.7032,7.861896,17.504928,0.37493,-1.003643,6.810968,run
